order_id,lng,lat,depot_lat,depot_lng,vehicle_num,dlvr_seq_num
736639,126.53486,43.82793,43.82912,126.53566,1,1
1234559,126.53055,43.83118,43.82912,126.53566,1,2
393542,126.52712,43.8274,43.82912,126.53566,1,3
2452372,126.52523,43.82733,43.82912,126.53566,1,4
1850418,126.52391,43.82484,43.82912,126.53566,1,5
3501247,126.52302,43.82286,43.82912,126.53566,1,6
3806465,126.52507,43.82184,43.82912,126.53566,1,7
1766686,126.52705,43.82199,43.82912,126.53566,1,8
1717642,126.52799,43.82267,43.82912,126.53566,1,9
1039584,126.5237,43.82061,43.82912,126.53566,1,10
410698,126.52634,43.81835,43.82912,126.53566,1,11
2644638,126.52078,43.8179,43.82912,126.53566,1,12
3199135,126.51849,43.81664,43.82912,126.53566,1,13
629041,126.51801,43.81575,43.82912,126.53566,1,14
2234840,126.51653,43.81547,43.82912,126.53566,1,15
3868042,126.51441,43.81535,43.82912,126.53566,1,16
741503,126.51703,43.81989,43.82912,126.53566,1,17
3794347,126.51461,43.82125,43.82912,126.53566,1,18
2681638,126.51366,43.82348,43.82912,126.53566,1,19
504164,126.51028,43.82592,43.82912,126.53566,1,20
3259842,126.51983,43.82474,43.82912,126.53566,1,21
1142156,126.52478,43.83859,43.82912,126.53566,1,22
3131184,126.53544,43.83586,43.82912,126.53566,1,23
2378534,126.54318,43.83759,43.82912,126.53566,1,24
2017561,126.54216,43.84027,43.82912,126.53566,1,25
2654626,126.54036,43.8412,43.82912,126.53566,1,26
73659,126.54089,43.84229,43.82912,126.53566,1,27
2942539,126.54089,43.84308,43.82912,126.53566,1,28
1765501,126.54566,43.84274,43.82912,126.53566,1,29
3731521,126.54651,43.8422,43.82912,126.53566,1,30
21394,126.54469,43.84056,43.82912,126.53566,2,31
2632398,126.55066,43.83945,43.82912,126.53566,2,32
1819621,126.55913,43.84127,43.82912,126.53566,2,33
3700735,126.56152,43.84231,43.82912,126.53566,2,34
4137934,126.56581,43.84589,43.82912,126.53566,2,35
511292,126.56568,43.84987,43.82912,126.53566,2,36
279491,126.56597,43.85418,43.82912,126.53566,2,37
2628380,126.5628,43.85554,43.82912,126.53566,2,38
720049,126.55835,43.85397,43.82912,126.53566,2,39
3984733,126.55724,43.85006,43.82912,126.53566,2,40
2512547,126.55501,43.84821,43.82912,126.53566,2,41
3518119,126.5552,43.8472,43.82912,126.53566,2,42
3846410,126.5565,43.84634,43.82912,126.53566,2,43
3885859,126.55553,43.8452,43.82912,126.53566,2,44
410277,126.55891,43.84739,43.82912,126.53566,2,45
1507929,126.54484,43.84685,43.82912,126.53566,2,46
2130140,126.49753,43.81582,43.82912,126.53566,2,47
3619717,126.49256,43.81104,43.82912,126.53566,2,48
2940144,126.50244,43.80999,43.82912,126.53566,2,49
